Parameter	Minimum	Maximum	Sampling
InhFld_ZEB1_miR200a	0.01	1.0	Sobol
Thr_ZEB1_miR200a	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_miR200a	1.0	6.0	Sobol
InhFld_ZEB2_miR200a	0.01	1.0	Sobol
Thr_ZEB2_miR200a	0.08365309180655896	8.281656088849337	Sobol
Hill_ZEB2_miR200a	1.0	6.0	Sobol
InhFld_SNAI2_miR200b	0.01	1.0	Sobol
Thr_SNAI2_miR200b	0.0386100408394411	3.822394043104669	Sobol
Hill_SNAI2_miR200b	1.0	6.0	Sobol
InhFld_ZEB1_miR200b	0.01	1.0	Sobol
Thr_ZEB1_miR200b	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_miR200b	1.0	6.0	Sobol
InhFld_ZEB2_miR200b	0.01	1.0	Sobol
Thr_ZEB2_miR200b	0.08365309180655896	8.281656088849337	Sobol
Hill_ZEB2_miR200b	1.0	6.0	Sobol
InhFld_ZEB1_miR200c	0.01	1.0	Sobol
Thr_ZEB1_miR200c	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_miR200c	1.0	6.0	Sobol
InhFld_ZEB2_miR200c	0.01	1.0	Sobol
Thr_ZEB2_miR200c	0.08365309180655896	8.281656088849337	Sobol
Hill_ZEB2_miR200c	1.0	6.0	Sobol
InhFld_SNAI1_miR34a	0.01	1.0	Sobol
Thr_SNAI1_miR34a	0.0820691769685399	8.124848519885449	Sobol
Hill_SNAI1_miR34a	1.0	6.0	Sobol
InhFld_ZEB1_miR34a	0.01	1.0	Sobol
Thr_ZEB1_miR34a	0.09649464266767242	9.552969624099571	Sobol
Hill_ZEB1_miR34a	1.0	6.0	Sobol
