Parameter	Minimum	Maximum	Sampling
InhFld_ZEB1_miR200a	0.01	1.0	Sobol
Thr_ZEB1_miR200a	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_miR200a	1.0	6.0	Sobol
InhFld_ZEB2_miR200a	0.01	1.0	Sobol
Thr_ZEB2_miR200a	0.07933185882132468	7.853854023311143	Sobol
Hill_ZEB2_miR200a	1.0	6.0	Sobol
InhFld_SNAI2_miR200b	0.01	1.0	Sobol
Thr_SNAI2_miR200b	0.03846888451613643	3.808419567097506	Sobol
Hill_SNAI2_miR200b	1.0	6.0	Sobol
InhFld_ZEB1_miR200b	0.01	1.0	Sobol
Thr_ZEB1_miR200b	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_miR200b	1.0	6.0	Sobol
InhFld_ZEB2_miR200b	0.01	1.0	Sobol
Thr_ZEB2_miR200b	0.07933185882132468	7.853854023311143	Sobol
Hill_ZEB2_miR200b	1.0	6.0	Sobol
InhFld_ZEB1_miR200c	0.01	1.0	Sobol
Thr_ZEB1_miR200c	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_miR200c	1.0	6.0	Sobol
InhFld_ZEB2_miR200c	0.01	1.0	Sobol
Thr_ZEB2_miR200c	0.07933185882132468	7.853854023311143	Sobol
Hill_ZEB2_miR200c	1.0	6.0	Sobol
InhFld_SNAI1_miR34a	0.01	1.0	Sobol
Thr_SNAI1_miR34a	0.06722919623860675	6.655690427622067	Sobol
Hill_SNAI1_miR34a	1.0	6.0	Sobol
InhFld_ZEB1_miR34a	0.01	1.0	Sobol
Thr_ZEB1_miR34a	0.010344180706279701	1.0240738899216904	Sobol
Hill_ZEB1_miR34a	1.0	6.0	Sobol
